pitcher_id,pitcher_name,year,pitches,games,tj_stuff_plus,pitches_per_game,position,pitch_type,mean,std,median,min,max,percentile_1,percentile_99,pitch_grade
641585,J.P. France,2024,460,5,98.85216057711996,92.0,SP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,47.88841889912347
669422,Matt Sauer,2024,325,14,100.08570059744874,23.214285714285715,RP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,50.311721320126274
664192,Joey Lucchesi,2024,177,2,91.74479725733862,88.5,SP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,33.9259284602789
656288,Griffin Canning,2024,2822,32,98.1573600246193,88.1875,SP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,46.5234758626258
700249,Cade Povich,2024,1371,16,96.91977077604328,85.6875,SP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,44.09221868988976
592791,Jameson Taillon,2024,2453,28,98.83351137733187,87.60714285714286,SP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,47.85178234882801
650671,José Quijada,2024,372,22,101.23932145534039,16.90909090909091,RP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,52.57802170096278
628452,Raisel Iglesias,2024,911,66,100.83852945350452,13.803030303030303,RP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,51.79066157290747
670124,Adam Oller,2024,698,8,101.98593701668774,87.25,SP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,54.04475587055153
573186,Marcus Stroman,2024,2609,30,94.01815262091036,86.96666666666667,SP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,38.391959124508816
680686,Josiah Gray,2024,173,2,92.9174173230082,86.5,SP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,36.22955298581004
665620,Deivi García,2024,281,14,103.79484141053587,20.071428571428573,RP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,57.59836769078776
642216,Allan Winans,2024,135,2,91.82785762713152,67.5,SP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,34.08910143553014
666720,Yerry Rodríguez,2024,430,16,102.30790090958325,26.875,RP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,54.67725734457848
687145,Evan Justice,2024,8,1,91.07093385981986,8.0,RP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,32.60211668626191
676974,Max Meyer,2024,955,11,99.95096901057266,86.81818181818181,SP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,50.04703969222472
445276,Kenley Jansen,2024,792,54,111.83974803703195,14.666666666666666,RP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,73.40267187504392
667297,Tommy Nance,2024,311,20,107.53511389415526,15.55,RP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,64.94617255758834
663738,Daniel Lynch IV,2024,620,16,94.3986118185151,38.75,RP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,39.13937524352751
621294,Ben Heller,2024,254,8,100.44391702171417,31.75,RP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,51.0154412755875
518397,Scott Alexander,2024,550,45,93.25939457783986,12.222222222222221,RP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,36.90137092110538
668968,Hans Crouse,2024,434,25,94.81963379141648,17.36,RP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,39.9664773637776
519151,Ryan Pressly,2024,932,58,107.93509856089808,16.06896551724138,RP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,65.73194666731162
666208,Alex Speas,2024,38,1,107.08551108643431,38.0,RP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,64.062923084945
663554,Casey Mize,2024,1748,22,100.64959553156822,79.45454545454545,SP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,51.419498884310016
543475,Jordan Lyles,2024,72,5,94.90433696533233,14.4,RP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,40.13287764510954
677944,Slade Cecconi,2024,1287,20,100.44082394873186,64.35,SP,All,99.92702427202074,5.090326364706532,99.57635584719306,84.68174371939705,116.940747743179,85.83104983992467,116.37300802816387,51.0093649009885
